# Pathway	SRR12395643	SRR12395644	SRR12395645	SRR12395646	SRR12395647	SRR12395648	SRR12395649	SRR12395650	SRR12395651	SRR12395652	SRR12395653	SRR12395654	SRR12395655	SRR12395656	SRR12395657	SRR12395658	SRR12395659	SRR12395660	SRR12395661	SRR12395662	SRR12395663	SRR12395664	SRR12395665	SRR12395666	SRR12395667	SRR12395668	SRR12395669	SRR12395670	SRR12395671	SRR12395672	SRR12395673	SRR12395674	SRR12395675	SRR12395676	SRR12395677	SRR12395678	SRR12395679	SRR12395680	SRR12395681	SRR12395682	SRR12395683	SRR12395684	SRR12395685	SRR12395686	SRR12395687	SRR12395688	SRR12395689	SRR12395690	SRR12395691	SRR12395692	SRR12395693	SRR12395694	SRR12395695	SRR12395696	SRR12395697	SRR12395698	SRR12395699	SRR12395700	SRR12395701	SRR12395702	SRR12395703
UNMAPPED	301444	348897	220510	396482	377046	475487	313601	493057	185376	415257	428678	417729	267178	241121	485001	398815	427345	256326	334402	513996	440778	352103	228835	245302	320738	188063	169549	349441	328451	386003	430638	311994	192661	222883	348183	277552	330232	231084	270231	171865	327224	210886	459922	329727	295695	73457	405197	468869	277991	249856	311717	216048	459867	161493	213981	428123	386423	220014	242125	316896	208213
UNINTEGRATED	652778	602817	728694	564220	579493	485040	643053	468882	753328	543159	529168	543452	680435	700269	479346	561469	521668	696700	622086	450194	524181	605574	730522	711433	639963	773429	765846	604621	629258	576741	531058	643186	764022	729826	613951	681070	625811	722923	669181	769479	632153	738333	508901	620804	648896	845425	552587	492525	675068	707528	644615	736207	499565	781173	741826	533548	570103	722336	711686	637532	734119
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0	464.927	500.947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	472.094	0	0	389.681	428.983	398.311	364.109	341.968	314.757	380.727	360.904	322.823	318.747	407.809	310.794	341.785	287.451	389.997	354.239	343.452	344.222	408.961	396.745	399.802	366.717	434.517	308.891	260.359	397.65	370.662	344.362	475.195	490.267	306.533	358.872	433.506	500.501	517.302	342.408	304.13	435.236	320.925	268.667	342.302	290.585	375.725	400.765	342.981	424.092	404.942	445.542	519.181	341.495	314.654	506.398	427.206	400.809	407.592	369.73	246.388	378.06
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	0	1.10142	0	0	0	0	0	0	0	0	0.339705	0	0	0	0	0	0	0	1.36081	0	0	0	0	0.920423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7ALPHADEHYDROX-PWY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206488	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	0	0	0	0	63.5115	0	0	0	55.5504	0	0	0	0	8.03756	0	0	0	0	0	0	0	0	18.1114	0	0	0	0	0	0	0	0	0	0	0	0.489956	0	0	0	0	16.0358	0	0	0	0	0	0	0	1.52174	0	0	0	0	0	6.25249	0.475106	2.2721	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0.342079	2.00419	2.13658	0.529964	7.34087	15.0469	2.06824	2.58205	0	0	1.05052	0	0.827187	9.6735	2.55563	0	0	0	0.505276	1.46857	0	0	1.34938	0	0	16.189	0	1.98448	0.692356	3.56837	0	0	0	4.6984	0	0	0	1.76746	41.8689	5.11218	0	34.4206	8.9224	57.7677	36.494	0	0	15.5245	0	12.3289	0	2.15614	1.36873	0	0	6.77318	0	0	0	5.36513
ANAEROFRUCAT-PWY: homolactic fermentation	237.821	336.11	276.111	223.061	245.486	229.35	258.776	226.345	301.594	264.342	232.628	179.185	287.73	304.91	267.733	224.483	240.478	247.682	243.835	231.368	228.41	212.003	194.423	277.302	263.107	161.815	294.893	221.214	223.314	232.498	212.23	298.684	288.136	233.458	250.864	257.351	227.184	254.09	306.512	256.555	187.261	249.224	241.288	272.277	222.715	353.014	217.066	238.047	228.466	269.58	285.125	269.036	247.649	285.881	221.567	259.032	222.2	297.574	246.466	220.16	255.02
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	419.057	475.713	469.685	362.608	399.846	339.563	363.068	334.113	319.364	384.248	401.487	291.058	318.565	434.065	330.508	323.486	259.102	331.334	393.949	305.487	286.494	406.198	384.798	406.79	326.476	340.13	335.269	254.957	383.724	360.552	338.97	403.671	382.892	289.513	310.249	388.432	355.002	403.293	401.771	269.564	355.391	290.504	302.755	299.222	246.798	379.01	374.981	313.105	397.489	396.521	373.092	343.239	288.381	319.205	383.914	351.36	381.979	377.265	352.232	275.762	308.382
