	Absiella	Achromobacter	Acidaminococcus	Agathobaculum	Akkermansia	Alcaligenes	Alistipes	Alphaproteobacteria_unclassified	Anaerobutyricum	Anaerococcus	Anaerostipes	Anaerotignum	Bacteroidales_unclassified	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Brevundimonas	Burkholderiales_unclassified	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Candidatus_Gastranaerophilales_unclassified	Catenibacterium	Cloacibacillus	Clostridiaceae_unclassified	Clostridiales_Family_XIII_Incertae_Sedis_unclassified	Clostridiales_unclassified	Clostridium	Collinsella	Coprobacillus	Coprobacter	Coprococcus	Corynebacterium	Dakarella	Delftia	Desulfovibrio	Dorea	Duodenibacillus	Eggerthella	Enterobacter	Enterococcus	Erysipelatoclostridium	Escherichia	Eubacterium	Evtepia	Ezakiella	Facklamia	Faecalibacillus	Faecalibacterium	Faecalimonas	Faecalitalea	Fenollaria	Finegoldia	Firmicutes_unclassified	Flavonifractor	Frisingicoccus	Fusicatenibacter	Fusobacterium	Gemmiger	GGB1026	GGB1101	GGB1215	GGB1234	GGB1235	GGB1239	GGB1247	GGB1250	GGB1266	GGB1270	GGB1331	GGB1336	GGB13508	GGB1380	GGB1387	GGB1407	GGB1420	GGB1455	GGB1458	GGB1495	GGB1497	GGB1505	GGB1526	GGB1535	GGB1550	GGB1559	GGB1627	GGB1669	GGB1679	GGB1681	GGB1685	GGB2657	GGB2672	GGB273	GGB2733	GGB2734	GGB28826	GGB2975	GGB2998	GGB3002	GGB3005	GGB3109	GGB3111	GGB3161	GGB3167	GGB3170	GGB3175	GGB31765	GGB3189	GGB3204	GGB3215	GGB32350	GGB3236	GGB32430	GGB32478	GGB3256	GGB3267	GGB3277	GGB3278	GGB32804	GGB32862	GGB32884	GGB32905	GGB3293	GGB3303	GGB3304	GGB33097	GGB33328	GGB3341	GGB3344	GGB3345	GGB33462	GGB33468	GGB33469	GGB33490	GGB33586	GGB33594	GGB3363	GGB33927	GGB33960	GGB34295	GGB3433	GGB34350	GGB3469	GGB3475	GGB3480	GGB3486	GGB34873	GGB3496	GGB35083	GGB3523	GGB35325	GGB3548	GGB3550	GGB3582	GGB3586	GGB3607	GGB3609	GGB3612	GGB3614	GGB3619	GGB3623	GGB3633	GGB3637	GGB3653	GGB3654	GGB36854	GGB37166	GGB3731	GGB3733	GGB3744	GGB3746	GGB37896	GGB38021	GGB38043	GGB3819	GGB39291	GGB39755	GGB4239	GGB4256	GGB4266	GGB4361	GGB4491	GGB4542	GGB4549	GGB4552	GGB4566	GGB4567	GGB4569	GGB4570	GGB4571	GGB4578	GGB4579	GGB4585	GGB4599	GGB4604	GGB4611	GGB4642	GGB4655	GGB4659	GGB4664	GGB4676	GGB4684	GGB4687	GGB4689	GGB4694	GGB4700	GGB4703	GGB4704	GGB4706	GGB4710	GGB4713	GGB4715	GGB4716	GGB4733	GGB4745	GGB4749	GGB4750	GGB4754	GGB4768	GGB4769	GGB4770	GGB6006	GGB6007	GGB6010	GGB6012	GGB6020	GGB6123	GGB6124	GGB6132	GGB6518	GGB6520	GGB6544	GGB6577	GGB6606	GGB6608	GGB6612	GGB6613	GGB781	GGB9045	GGB9056	GGB9057	GGB9059	GGB9061	GGB9063	GGB9064	GGB9081	GGB9091	GGB9092	GGB9109	GGB9110	GGB9172	GGB9175	GGB9176	GGB9210	GGB9211	GGB9249	GGB9256	GGB9261	GGB9266	GGB9271	GGB9277	GGB9293	GGB9342	GGB9343	GGB9345	GGB9347	GGB9350	GGB9352	GGB9365	GGB9366	GGB9379	GGB9423	GGB9453	GGB9468	GGB9479	GGB9509	GGB9512	GGB9524	GGB9542	GGB9547	GGB9602	GGB9614	GGB9615	GGB9623	GGB9627	GGB9631	GGB9632	GGB9633	GGB9634	GGB9635	GGB9636	GGB9672	GGB9677	GGB9691	GGB9699	GGB9705	GGB9707	GGB9710	GGB9712	GGB9715	GGB9730	GGB9739	GGB9747	GGB9758	GGB9759	GGB9760	GGB9762	GGB9770	GGB9785	Holdemanella	Hungatella	Intestinibacter	Klebsiella	Lachnospira	Lachnospiraceae_unclassified	Lactobacillus	Lawsonella	Levyella	Longicatena	Mediterraneibacter	Megasphaera	Mesosutterella	Methanobrevibacter	Methanomassiliicoccus	Microbacterium	Mitsuokella	Mobiluncus	Morganella	Ndongobacter	Neglecta	Nissabacter	Odoribacter	Oscillibacter	Parabacteroides	Paraprevotella	Parasutterella	Parvimonas	Peptoniphilus	Phascolarctobacterium	Pluralibacter	Porphyromonas	Prevotella	Prochlorococcus	Proteus	Pseudomonas	Raoultella	Romboutsia	Roseburia	Ruminococcaceae_unclassified	Ruminococcus	Ruthenibacterium	Stappia	Stenotrophomonas	Streptococcus	Streptomyces	Subdoligranulum	Sutterella	Tissierellia_unclassified	Tyzzerella	
471	104	140	0	87116	203132	0	1796408	800	320072	16688	408270	16686	350	4540380	452110	494646	57766	960750	4	1080	1354	402	564	1126	7498	1252	682	52280	15990	311054	738260	240632	578	110298	210972	114832	0	352	6	260646	28	986	9238	18	506	2408	694866	1472	312	420	126350	2466432	5216	1090	56884	120002	2152598	15552	1576	1098960	584	331104	80	244	5700	2360	2546	32	118	172	646	160	22	22	4098	2214	3310	154	36	6446	28	29072	1548	18	2	0	0	676	176	2	510	13898	287454	3002	36	2	6	1022	24	12614	7298	7478	4974	23160	0	530	278	216	207392	74	136	3792	396	2422	108	16218	9038	3220	1324	1328	3624	368700	42348	508	62	4740	194	879594	60	36278	1338	4146	3428	14450	4	780	22750	1398	1666	8858	1648	15690	624	800	108848	108	23594	62288	3460	28	2296	14656	5294	500	768	744	1018	4156	13742	4316	15988	14244	6690	62130	5404	4406	16340	2248	5912	6130	648	796	4180	121284	15276	22	16	44	6120	96216	502	14	320	4	10	28546	768	45938	46868	606	64	158	194	381060	106	80906	178	10684	340	402	172	522	2468	20	319140	20	8	350	548	6	106	1164	22	146	260	136	22	86	5144	746	20896	66	32	0	3000	348	2696	1992216	600	8	0	8	728	46	0	28	26	132	361092	230	34	2	66	1902	538	124	8768	163464	1030	162	2380	126	2710	22	38	2376	3130	3538	104	508	138	2468	4128	3022	5632	4684	24	6686	266	426	36818	1576	314	836	468	9742	93258	326	726	26720	6380	500	222	171088	12714	103598	3724	164	1214	35754	122102	152542	299050	2668	446	4942	1552	45098	53258	12972	30290	38932	80532	48016	504	4048	454988	1600	50488	58	2546	390	624	2582	5636	82	189580	232380	2	4968	25222	1216	1228	0	0	28	494	628388	52	1602	2	148	2058	4	138592	282226	753918	10078	164290	44	65242	14	38	138776	862126	10500	0	112	30	9898	2447934	287802	2003530	11760	8374	1086	9464	6378	470780	156	41428	2186	HC
455	42	50	1696	9342	4992	0	2205348	4496	57796	84	49482	41278	0	11207030	22308	2208	758	284848	0	22	16416	1154	314	46	420	606	470	34052	1458	41754	490564	49652	1090	4004	85242	506	44	0	100	47884	114	17772	1580	154	70	2896	124432	13294	62	40	37178	2288056	1782	692	984	730	1919104	21272	3404	160048	0	177992	178	60	186	308	26	4	44	12	198	82	1398	266	17554	2442	9954	1366	194	22	14	38390	3114	208	0	0	414	50	6	0	950	5254	7044	6748	0	672	0	1686	3396	3538	6670	1068	536	2340	156	92	516	4256	1628	2	58	2516	112	111942	54	19054	116562	3390	1618	2104	98038	403088	1248	7776	92	180614	110	9466	236	9758	982	1842	2528	1392	0	756	13730	524	2060	2736	509720	310	16308	562	12616	344	338	16352	1302	18	2190	85852	6900	614	420	394	218	1828	21392	2648	348456	1986	5894	27098	14552	149442	220144	22544	676	526	69524	92	8554	23812	172	22	2	70	75762	138030	508856	26	24	222	20	10736	644	610	152	320	36	44	187172	212	78	978	604	826	2320	408	752	134	700	14	1514	44	20	24	4818	614	32	480	48	108	86	336	0	1058	1030	526	2	32	306	62	1524	778	832	0	0	0	196	22	164	116	0	12	28	260	734	128	4	70	42	2918	284	4	56	112	94	40	56	24	18	48	1790	436	924	2172	518	352	282	386	2308	644	422	5598	16	10550	404	726	54	8	76	62	158	38	14764	228	22	1944	1428	956	440	48900	10822	61246	662	9986	15214	39862	391660	53728	44616	570	494	892	2328	58612	7572	552	54226	888	117618	9430	728	183240	131922	18832	30912	134	212	104	61854	3152	6370	7174	180416	593278	236	22	74	1366	21346	20	2	94	316	1136	64	28	16	0	872	0	48494	554214	360942	25804	1742	28	386	694	126	1756	2012	139802	0	18	156	2528	528286	312874	1479974	24238	886	320	9694	166772	163922	956	270	2800	HC
450	32	56	74	28894	71696	12	2379150	592	155880	5000	237968	3442	116	5805654	763194	241358	88688	436124	2	354	1104	43626	738	2768	236	812	1292	6812	8544	76952	177416	18116	13074	4792	227818	316272	0	14	27730	43542	52	9562	1198	340	752	13508	1055710	22530	48	118	11978	2217800	3026	87644	116572	25164	96082	10246	7596	98028	310	57450	42	166	64	66	460	4	6	74	5518	1468	142	98	482618	3478	11920	1312	88	646	10	21976	2106	650	8	26	8	128	114	72	24266	18592	1543818	5884	0	258	4	2032	664	18338	1946	4922	1966	12540	176	1196	346	208964	59844	70	10	9990	268	6368	810	51308	9838	5048	338	6732	7774	113000	1070	17108	344	1638930	310	23352	84	96994	3852	2766	2374	710	18	746	33818	4058	118	1494	1068	5808	5434	2448	2998	330	26592	179406	3522	50	1726	25180	4776	1048	3488	998	468	7292	7646	6170	5942	1460	1228	33584	1258	3196	12562	2038	2852	612	630	282	4596	56708	898	94	48	36	16688	163928	622	90	396	582	46	258	2876	3272	916	600450	4762	1522	1192	196	114	3002	1496	1344	1688	554	604	604	2254	122	2076	918	206	84	234	40	0	666	100	32	24	242	0	638	1854	328860	294	154	228	22	5662	258	1444	0	2	0	0	0	46	4	2	68	32	556	1100	1332	12	42	526	282854	88322	150	30772	6452	432	96310	148	26122	684	44	274	156192	237540	1124	134	2146	250	14954	3130	2092	1260	147858	11672	374794	2256	3668	62	111872	52	34	160	27368	237364	3458	26470	1554	23814	98	2134	15280	3288	147464	6336	210	340	282036	73404	12514	43684	620	2326	57634	1502	233254	30064	588	34400	2028	25160	1812	690	5750	1011532	19524	3870	656	18132	594	1254	6752	8114	964	146298	626238	3362	1094	3514	13480	71266	214	2	55754	146	1748	28	9864	24	32	6612	0	178826	234202	52584	15230	35540	22	19970	408	1036	35716	10026	5576	4	14146	126	10648	207580	1863738	1296994	26706	3896	170	138596	15284	973786	70294	16684	2276	HC
183	9438	104	219536	660	143334	0	1808152	362	184870	552	325952	202	10	11632234	28918	17366	99470	976176	0	7026	364	32380	360	200	603294	522	2	7506	3810	151092	603946	424996	86	4592	150750	1586	4	20	244	155222	278	16712	408	24	9042	3736	42686	20186	66	172	840	560110	71558	870	2256	1592	37044	80878	3030	310354	8530	33654	46	250	44	16	1162	2	10	20	1208	40	130	130	372	2442	3100	1764	640	148	48	44820	4048	384	0	0	0	500	52	48	307884	37760	17476	638	0	8	6	266	710	6922	256	904	2148	7428	340	36	82	232	450	0	2	1748	84	198292	190	9134	384	237644	294	486	3758	19540	1470	1210	84	3434	26	5542	54	906	20	990	692	520	0	12	18288	3910	2384	40430	4790	21380	20	9106	6434	186	1148	528	756	0	2510	69698	1710	286	2178	6706	2086	520	57240	872	11862	108	722	25792	932	1070	5206	1390	24	912	500	280	1010	4942	586	0	106	7008	69730	71772	382	14	48	4	10	368	4	362	20	538	0	18	166	2	0	64	706	16	178	342	84	1544	266	0	1520	2	0	6	2	0	0	124	0	6	0	1128	0	320	336	926	252	56	36	0	6546	199634	680	22	10	0	0	0	4364	42	0	6	6416	8460	10728	3653414	2	0	22	478	164	8	46	24	0	126	90	96	40	0	86	182	222	1144	4	86	84	48	768	1108	0	4024	32	602	82	114	8018	106	76	104	156	82	2316	496	36	744	772	32	148	2314	2208	9308	2054	60	140	9304	6988	1794	11980	402	64	142	46	1354	112	102	2012	114	3348	82	246	1726	5494	86	126	12	44	38	292	1636	13474	42	145164	2635160	320	130	328	9650	123548	0	34	28	136	412	1704	980	4	2	3118	4	267348	211064	1149694	21546	154654	0	1580	58934	0	4046	6918	1808	0	16	254	344	385090	11886	544518	10418	46	16	5210	58002	6140	228	454	2526	SF
116	202	454	324	16904	116932	298	6309072	406	104936	664	113362	188	0	10559332	2305994	249304	50998	553182	174	3666	408	3230	3776	318	576	2662	6	53990	4382	633038	1359338	39678	192	8330	218110	19194	0	1488	112	119274	240	26424	46	118	354	12442	1029088	13448	8	366	49988	1443200	3742	1322	556	14762	154906	10050	2768	351932	240	46092	0	184	198	418	930	20	1282	26	1434	262	1266	72	2426	11366	1748	688	482	50	2	5012	4546	166220	156	144	186	92	362	2	1052	9566	9488	2036	4	3022	202	2532	9452	632	2150	2210	1884	28714	314	122	46	618	397406	8	266	4146	486	1054	112	45534	70460	5504	2366	110500	4558	742340	5242	6726	34	610158	74	11478	222	13682	1544	2598	150520	1260	0	420	13160	1032	1536	3900	828	54626	80	11250	46700	460	878	3626	2766	90	8418	14790	5736	528	1882	436	558	14434	16054	4602	657614	1494	3494	36540	20372	3656	52478	547064	9638	1056	1670	424	130832	119334	1730	0	2	128	14514	14846	16	204	340	0	148	238	112	21992	1912	160	646	206	238	466	28	474	308	532	546	428	116	362	880	12	1740	60	6	112	24	0	14	566	8	12	216	1754	0	184282	942	4744	52	259540	312	54	5640	320	1430	0	0	0	10	120	14848	1528	52	644	5954	3068	712878	2028	2286	240	166	1860	674	512	12362	273866	2774	330	70	218	4222	248	512	1910	278	2124	116	472	122	142	2120	642	14	184346	26	3146	284	4306	224	1504	586	314	540	96	35642	1322	4636	1298	18664	84	366	12900	3420	63722	1570	766	486	44940	435560	10228	50770	816	612	356	564	144344	126228	5554	35642	1208	79822	73274	1242	2692	1473648	346	1464	166	72	66	1488	1788	18146	112	314074	1981856	102	134	1156	7594	19172	252	0	94	1036	5338	110	144	4	2	2016	2	150556	253154	2339104	9028	255862	4	3434	286	10	2342	13752	15932	34	23406	94	24974	1775232	576824	1793788	22764	13682	4040	5726	5870	311558	870	74	5988	SF
467	56	36	1842	24678	65750	1282	1176338	826	135618	8036	195392	10978	24	9391106	445204	622134	10968	422110	0	296	640	67324	886	3712	662	1330	54	41706	22138	341246	461920	120252	20122	23746	1117958	68480	42	6	78	169208	46	27390	8830	628	582	1217230	356730	9708	72	4992	122702	1762712	2108	536	22860	58610	274890	28474	3400	192546	176	942452	56	418	314	192	3982	228	110	308	3632	794	82	434	2824	966	2056	316	222	240	56	5592	2344	2	0	0	406	798	442	64	105144	10674	2534	5468	2	14	40	1200	104	12752	66576	3192	5614	30612	0	440	84	602	146980	30	836	7938	798	60342	186	26360	7192	6816	406816	7188	7348	421102	1528	4490898	100	12158	128	8670	90	39006	8428	4782	3472	2834	0	412	23074	2976	1054	1892	1668	6272	7476	592	60376	168	566	6526	1362	18	5266	89280	3868	398	1152	678	268	2560	158128	5154	11768	1080	16792	23270	2812	4050	36994	1456	444	924	540	172	22986	10604	4720	96	44	2044	73062	96614	836	76	64	2	6	124	524	912	158	366	50	234	430	524	164	3466	524	63392	797284	1238	240	208	1598	32	311076	92	58	428	422	114	22	934	128	228	224	596	0	78144	5012	600	8	24	16	12	1138	836	1154	928	90	104	118	130	22	0	0	152	238	2	3058	44	0	12	110	1952	450	124	6386	734	122	22452	96	86	4362	12	806	82168	1052	2580	334	514	90	386	1338	800	16236	3446	30	1992	270	254	38	16	118	142	288	172	37896	488	1286	1170	91700	168	22760	13534	8682	101778	3658	388	428	41222	52522	5946	50702	396	506	1322	305386	143410	110590	450	17890	810	103764	18600	366	2962	9808	107980	3644	70	4268	54	612	1756	2140	8040	12962	1646214	184	884	8558	810	3138	46	0	68	24	1920	36	88	36	58	7306	0	199676	315678	214474	9292	46562	2812	23094	81736	106	17408	31662	10650	12	176	280	918	481228	176806	1155504	27658	628	2242	5502	53534	1005568	9084	1174	1084	HC
453	96	56	88	154172	2932	0	1509358	764	37696	358	22778	166	2	3198730	121832	1320	22658	3024532	0	14	954	94060	470	90	206	3576	886	37440	2524	35634	1043116	5374	242	3206	202018	11944	0	4	110	287072	368	332	2872	342	1174	3042332	2170884	84280	18	46	7246	2168528	31282	774	1168	9408	334680	8438	2118	191210	992	99338	12	856	138	7906	4600	102	44	1260	6652	46	96	84	4022	8256	1662	490	58	44	38	519172	2288	338	0	4	100	886	2194	12	798	17512	3632	970	0	2	4	1068	302	6592	4690	1974	750	6726	10	106	132	550	181010	6	204	3922	364	13968	450	9884	17612	5420	5518	4196	196756	140182	160466	165826	94	488376	270	12598	164	4278	852	3066	3282	20140	4	960	3068	844	232	882	2126	388	2226	3356	22162	4348	6712	954	3826	44	4270	261796	5660	556	2956	924	582	3878	28958	2088	20466	6936	34210	38466	2436	2078	5874	6334	4110	88340	810	302	44430	12718	34246	12	0	24	51162	46470	222110	34	120	4	1838	615822	134	156	4900	660	1592	8	60	44	2	126	42	54	16	124	254	54	1412	2	1818	70	2	1102	32	0	6	302	154	10	2	292	2	472	792	2396	266	48	8	0	828	262	1084	0	0	0	2	0	28	90	2	192	12	196	18818	1486	0	70	1048	1540	1408	6830	68	60	286	50	526	26	128	40	252	436	600	1912	96	2436	10476	266	8632	560	7448	13286	28	14156	328	2354	13020	2236	166	374	1858	114	77940	1876	104	97636	1418	362	6654	295004	3412	71018	1608	21266	16750	48994	455332	11426	67176	13532	744	6960	16690	79224	61046	9506	32868	26142	167556	31292	1048	29232	704416	19732	78288	21712	344	960	310	2580	5744	5100	101844	190166	7382	108	102	6176	47578	2	0	7158	210	9664	140	4	2	104	1230	0	125592	424592	524876	19034	4004	2306	3594	281054	268	1378	4040402	11890	2	10490	154	1444	454122	424878	525278	6050	6060	2292	14426	3048	103768	65528	176	1822	HC
167	72	196	0	25394	4964	2	4075562	1758	220402	252	55668	3162	48	19656110	656742	639806	10586	636070	4	592	690	60278	144	540	118	542	5098	3234	4260	114274	217000	465156	318	9576	173194	430	20	1418	290784	240416	330	16238	412	1360	6838	13290	105546	29078	62	20	1160	162180	8412	764	660	368	69562	46216	1736	203556	18050	23274	226	984	588	1259072	5138	1452	802	2572	3924	1948	116	58	790	4840	1340226	2912	234	274	108	511844	826970	882	0	54	504	350	142	124	99900	29130	10268	1148	170	18	0	532	20082	40364	266	1484	60864	53332	48	96	148	328	306	90	6	2970	54	19356	168	14342	1656	1554	8072	392	2452	1310	9916	48340	308796	11100	66	4968	44034	826	750	3204	770	392	102	278	31538	792	3602	4582	1284	3510	148	13846	78032	2538	4144	1152	988	92	2094	209938	2366	218	1562	4970	2444	4238	13828	1490	13430	150	4874	10480	2184	2946	21682	8206	44	1240	408	160	954	26116	48740	6	2	26	311634	136540	476	20	42	8	106	68	8	50	42	186	184	6	14	2	2	286	78	10	8	142	168	66	1450	44	1400	0	0	32	94	4	0	76	0	18	4	954	18	56	456	1476	46	18	412	98	4150	154	1594	4	192	0	186	38	312	2	6030	378	54	444	2446	332	0	0	12	3306	314	2	4	142	186	16	0	12	10	106	1844	144	462	3706	44	112	590	108	832	864	84	4268	46	640	262	220	50	44	164	300	232	174	6370	501896	22	746	760	32	320	3612	1430	8426	2348	35508	254	27164	9926	1948	21722	288	266	392	52	27564	214	216	3070	374	31384	246	82	1112	8854	58	336	80	110	106	582	5314	12140	8912	2236	3357114	1856	128	166	3386	97248	58	0	130906	56	968	285258	198	5934	0	560	0	85854	174254	2057414	587938	32836	112	1124	486	574	4184	34660	2266	588	15218	142	2392	299088	553884	1213912	52082	60	312	1156	13914	69006	54846	162	102092	SF
479	32	244	66908	13564	84236	8	3053138	678	61514	1970	70324	2648	20	13653828	798748	271374	19018	274672	2	120	6532	49802	758	1358	468	352	1216	14114	5164	65752	226462	198902	350	6680	389344	15812	20	34	2	90310	326	514	64	86	98	7708	466494	6782	6	92	4732	1370672	2744	1326	22874	4114	225640	5336	2820	327924	38	312432	30	546	7594	184	2344	24	4	104	3256	82	62	482	5298	4488	12058	768	145234	174	2	15614	4436	136	184	886	348	330	6	46	3546	116266	2028	33358	12	3220	2	260	2128	7878	1184	1744	2234	3708	0	108	420	564	135298	2	29088	6848	162	7450	128	5712	14006	2430	1398	2562	83586	345624	9210	10328	24	4612	84	104374	168	4288	1764	3088	2574	1242	2	896	12058	316	3308	632	44102	1252	76	356	27584	172	492	37036	1304	0	2870	92128	2582	266	278	204	182	2184	31138	3692	7982	1682	9682	13866	69814	1712	20064	1706	5262	806	578	154	166006	47184	22046	34	0	14	65900	181688	416	26	884	0	174	9296	254	294	52	132	24	410	240	154	20	2540	492	4158	828	214	122	44	676	2	1222	132	0	36	92	2	2	144	96	32	10	800	0	34158	660	374	2	12	16	0	838	614	848	0	0	2	88	34	28	0	16	458	2	4	612	26	536	34	102	1464	126	110	4022	8002	236	56	42	76	176	4	313790	604	972	1370	196	352	38	148	1824	552	86	5854	24	15464	220	410	12798	24	22	158	8	3992	50810	288	18	566	3122	262	14772	38106	5116	123748	686	328	648	24650	143354	113894	434540	964	348	1246	978	37180	3094	2770	27374	936	174986	8492	2084	2722	16324	11872	23140	39218	214	270	238	1664	5804	5912	38280	751808	5094	90	698	362	6352	36764	54	152	130	770	80	426	324	2	1140	56	172366	60140	769848	240780	8220	16	2828	178	120	10148	41398	9798	14	54	38	5662	426440	701036	1141204	3462	7500	42	108746	18708	469366	329800	1532	1032	HC
459	46	112	2	15664	57558	0	1575634	792	71138	566	47506	12182	22	4724308	363956	37016	16564	317468	2	6	278	76482	1078	16294	2170	466	4044	8776	5174	71840	268490	180380	34406	4226	123346	2382	0	4	430	74474	53520	2778	66	2508	136	44500	109488	666	3180	1224	18948	397762	4360	458	19280	12334	93586	7540	23402	84672	362	22776	18	456	154	2944	2766	58	264	162	1590	1018	250412	188	4974	1874	2068	666	62	124	0	20498	1446	26	2	0	38	130	12	56	240	15766	1918	16114	0	134	0	1845480	18	9072	3846	3362	11172	3530	34	198	376	19106	1128	40	152	4156	184	1030	202	17554	4048	126058	274	842	1674	3328	553240	8240	2056	7300	200	390822	154688	51848	1514	874	1232	1090	88	2382	9796	3776	5820	5080	4408	308	94	3578	50316	1214	1402	452	1412	28	1360	29950	4646	380	11836	5504	450	280	7262	2290	5660	55228	17766	2001612	1224	1466	21126	928	16	518	528	11570	888	18374	13242	96	18	1414	47808	19080	350	8	42	94	52	8502	253444	3360	834	106504	634	17210	4726	1042	314	1228	620	610	1416	19674	672	244	4378	54	5770	716	35810	3432	3754	131278	22	782	1202	180	576	302	4	1408	4380	147234	834	560	10480	30	9990	156	650	126	1106	0	52	18	882	200188	204	22394	510	504	145738	19276	2	153440	122	1368	145230	98	6656	1700	178	16756	168	21892	428	180	750	20540	812	1752	24518	618	606	362	592	1054	2656	96602	3196	137512	77646	167840	5754	278	212	724	108	132	119894	292	40	12882	14216	234	2346	65164	5868	22014	2470	436	45266	52172	218928	9540	581556	432	2038	153144	7876	58294	21468	3038	17896	16614	36210	16662	30	38842	129882	1488	65932	312	3656	832	206	92776	1340	452	44558	282676	24	1470	912	660	133136	8	0	28364	53988	2298	44	3992	8862	10	15032	0	222424	133414	481136	134682	1520	16	16992	350	28	20466	181616	18946	8	22346	16	926	604822	523058	663340	31354	30	1184	2500	1782	42638	91342	10898	5828	HC
