	DNA_1	DNA_2	S_101	S_102	S_103	S_104	S_105	S_106	S_107	S_107a	S_108	S_109	S_110	S_111	S_112	S_113	S_114	S_115	S_116	S_117	S_118	S_119	S_120	S_121	S_122	S_123	S_124	S_125	S_126	S_127	S_128	S_129	S_130	S_131	S_132	S_133	S_134	S_135	S_136	S_137	S_138	S_139	S_140	S_141	S_142	S_143	S_144	S_145	S_146	S_147	S_148	S_149	S_150	S_151	S_152	S_153	S_154	S_155	S_156	S_157	S_158	S_159	S_160	S_161	S_162	S_163	S_164	S_165	S_166	S_167	S_168	S_169	S_170	S_171	S_172	S_173	S_174	S_175	S_176	S_177	S_178	S_179	S_180	S_181	S_182	S_183	S_184	H_450	H_451	H_452	H_453	H_454	H_455	H_456	H_457	H_458	H_459	H_459a	H_460	H_461	H_462	H_463	H_464	H_465	H_466	H_467	H_468	H_469	H_470	H_471	H_472	H_473	H_474	H_475	H_476	H_477	H_478	H_479	PCR_1	PCR_2	Spike_1_1	Spike_1_2	Spike_2_1	Spike_2_2
SV_1	5778	1579	47155	28886	34657	12473	19748	126008	36858	75005	136294	11474	46349	6092	14941	35821	16766	6462	22532	16571	23394	22010	71281	31349	12886	18634	16610	23946	25433	11485	36208	22935	33849	81577	21000	11403	39733	4668	3922	14093	15795	23672	4110	12124	76531	19254	38892	15961	3969	60552	3109	12489	40823	10753	8986	20000	7897	15002	15969	20965	5723	19240	4491	46459	27654	13924	6586	13044	48399	55930	31878	9376	24748	44976	17019	9588	27149	62149	9163	50584	28892	14555	62784	11506	11740	9385	41309	29898	41819	12606	103157	29605	49823	10628	85057	22853	61919	35741	32955	67943	12834	5978	35104	31504	30304	5640	9627	39705	57121	78751	10429	14623	16913	51856	113105	31323	19250	25820	14767	2171	15568	2301	9073	1845
SV_2	32	3559	341	2283	47	14	14264	733	9	644	25	200	5857	6	18	112	662	236	4086	2698	13903	1511	1076	28	49	3613	8	983	1002	18	32	31	1706	833	817	1760	698	660	2548	751	1002	1392	3190	581	861	14	12	2344	4011	819	346	11	21	16	0	789	121	19	282	12837	1232	261	10917	14	1046	4386	1286	1538	0	713	17	353	546	2142	883	683	5881	1658	475	465	42	1131	0	11	1965	18	1339	85	40	6091	899	1604	764	32	29	14	21	4624	13977	0	603	18	27	207	12	0	16	221	266	36	323	374	435	26	1259	11468	12	18	120	5464	199441	84183	304	724
SV_3	511	95	1986	1777	3673	2107	1126	5560	11634	675	4220	1556	31552	2065	531	6354	4834	7066	450	3908	1184	1667	1640	1592	948	299	3338	2623	1277	529	1488	26974	1914	4869	11047	1176	286	158	2524	852	529	3914	1983	1131	1419	2848	5947	1745	5897	793	166	2076	2346	801	449	1753	1405	9164	1450	975	1170	601	820	5604	2887	537	673	338	4563	4215	3581	1086	583	2237	1029	511	3108	3389	1617	2551	2496	347	7593	355	12538	845	1582	3571	36463	5710	12400	11147	43229	2738	1697	1030	6263	1210	1132	885	1052	257	2389	2302	656	410	1147	280	1726	2167	1183	3286	1386	2212	413	1510	770	611	629	155	1220	383	1308	474
SV_4	281	49	3129	527	491	863	683	1971	2170	38	605	542	73	198	671	562	686	329	442	74	1582	563	4698	456	639	48	1538	639	878	120	1891	260	2249	5100	345	210	269	215	242	135	145	11389	184	487	46016	1790	540	175	90	972	166	80	2128	213	235	4719	44	279	2227	524	618	72	56	17965	14769	859	109	117	527	47348	1929	559	3416	2562	463	522	1009	883	647	217	1224	160	747	81	0	746	4086	179	5722	318	49495	462	3352	125	190	505	395	687	2316	166	382	46	575	2521	3443	35	332	583	43	10158	503	909	353	2661	377	2637	3145	336	672	118	1198	63	62	43
SV_5	446	62	3714	2000	411	535	1400	3827	2725	140	6431	470	628	1123	1101	2043	1226	683	3205	2133	2743	847	3910	641	473	115	507	728	1341	743	1495	1037	1208	2635	4801	4151	17418	334	151	495	343	900	131	391	10655	1041	2346	2683	201	2997	164	1151	12345	594	314	11115	612	473	784	991	390	1515	838	2158	938	2447	374	504	3771	7960	2962	471	1871	1305	741	1029	1941	7623	1219	597	1403	965	3675	229	2229	729	3326	2518	1982	832	21701	1672	1104	676	1386	14291	16939	5288	2115	842	418	203	1184	1739	678	350	1048	5818	431	3305	594	1125	458	4167	4915	3821	2780	2117	650	238	457	107	250	131
SV_6	0	0	0	10	0	6	0	0	207	366	0	6	4899	6	27	45	0	0	0	0	238	0	0	0	0	0	169	0	0	4619	5	387	0	0	230	298	32	0	0	417	9	0	0	476	13	0	215	5	177	0	0	253	7	482	0	7	207	568	730	0	0	334	403	0	7	4	0	0	461	79	0	10	0	0	0	0	272	330	0	421	14	0	0	193	0	0	0	300	8	504	6	0	0	213	285	0	8	556	13	140	547	343	0	0	0	106	0	0	438	0	0	699	575	0	11	8	0	694	7	0	0	819	125893	110959
SV_7	0	0	0	0	0	0	527	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	577	0	0	564	3	0	0	0	0	0	0	0	0	826	415	0	0	727	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	621	0	748	0	5	0	0	412	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	563	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0
SV_8	0	0	0	0	68	0	0	0	0	0	0	0	1256	0	0	172	0	0	0	657	26660	0	28	0	43	635	0	0	0	0	0	0	90	401	517	1760	0	0	121	0	99	83	0	0	0	0	0	1309	7398	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	1650	946	0	0	0	482	0	0	204	0	0	109	0	0	461	349	0	43	0	0	0	0	1388	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	163	0	0	0	0	392
SV_9	141	38	1699	69	216	645	64	499	4768	130	2156	115	40173	73	73	13059	2039	216	445	3120	671	521	480	341	187	150	453	335	106	217	2089	13913	2669	220	2309	329	70	32	231	302	84	3323	178	243	620	104	769	1271	174	156	44	100	645	116	115	1661	375	10905	2336	763	297	209	335	148	5830	168	202	0	3402	310	265	213	474	1365	234	116	181	1848	529	374	398	0	539	163	0	468	302	2952	10939	953	3472	2194	249	440	220	0	2943	435	226	123	700	89	1857	0	70	206	295	73	191	494	186	1825	228	974	111	336	1069	359	290	77	106	372	707	364
SV_10	0	414	10	134	0	0	46	0	0	43	0	143	159	0	462	0	0	0	326	123	293	36	0	36	0	21	0	69	64	0	0	0	152	283	154	214	16	0	32	42	108	22	20	82	91	0	0	26	152	17	0	0	0	0	0	19	168	0	6	51	51	0	32	0	90	0	90	29	33	0	0	0	0	161	42	0	220	226	0	0	0	20	0	0	12	0	0	10	0	26	266	0	0	0	0	0	5	0	240	0	0	0	46	139	0	0	0	297	352	5	346	0	234	6	34	84	0	30	0	302	0	141	0	87
