pathway	DNA_1	DNA_2	S_101	S_102	S_103	S_104	S_105	S_106	S_107	S_107a	S_108	S_109	S_110	S_111	S_112	S_113	S_114	S_115	S_116	S_117	S_118	S_119	S_120	S_121	S_122	S_123	S_124	S_125	S_126	S_127	S_128	S_129	S_130	S_131	S_132	S_133	S_134	S_135	S_136	S_137	S_138	S_139	S_140	S_141	S_142	S_143	S_144	S_145	S_146	S_147	S_148	S_149	S_150	S_151	S_152	S_153	S_154	S_155	S_156	S_157	S_158	S_159	S_160	S_161	S_162	S_163	S_164	S_165	S_166	S_167	S_168	S_169	S_170	S_171	S_172	S_173	S_174	S_175	S_176	S_177	S_178	S_179	S_180	S_181	S_182	S_183	S_184	H_450	H_451	H_452	H_453	H_454	H_455	H_456	H_457	H_458	H_459	H_459a	H_460	H_461	H_462	H_463	H_464	H_465	H_466	H_467	H_468	H_469	H_470	H_471	H_472	H_473	H_474	H_475	H_476	H_477	H_478	H_479	PCR_1	PCR_2	Spike_1_1	Spike_1_2	Spike_2_1	Spike_2_2
1CMET2-PWY	5796.162724005206	8311.455450533847	51350.88971571503	38888.94604298365	20396.92268034128	21181.280950725373	20118.792509987255	106540.15618017885	89446.98376636914	29927.394023187793	94225.64284810472	12077.154683881667	152324.3998777137	16786.971372796757	32098.23166425044	82104.8174495606	32242.59947326771	22811.5114786924	18040.649458178803	38219.183857021504	57168.84873973258	21793.48172419396	42403.58608181997	30041.74815017973	10767.71352848713	12122.714416649544	22847.947943900876	25181.799317511235	30672.8826102138	12491.386736849874	31549.20301131641	71016.32773840464	47025.84131643721	50613.417536157336	43033.52025902402	17964.828518636867	140638.73899297375	4232.602632939732	10543.12350812063	11600.596393556872	11651.148837123374	63220.057240680224	9397.79269998179	41105.066701105585	91380.69406081642	15117.991423211051	36290.4496003234	33610.61510783221	24233.33003782794	31828.492021533948	7248.927964930081	22472.739748848035	34898.263768097706	12241.73309274837	8831.068810912093	46376.25210231749	15455.934395074923	44491.21234616956	20493.163976019485	20861.452259483252	11157.364071695145	27392.04940926104	14298.87097773715	47801.18443221152	43236.661042509004	16117.457349792168	7987.330993237316	12889.019046391755	54881.816557785096	88857.51121469651	34231.99025502969	9624.229510084493	21027.622108405125	56923.756845924494	12381.815805614153	8628.343350560179	32646.821394971626	47977.85772980459	18071.61500798125	28108.396479185354	33020.50036475589	10577.967545447502	66147.5762581161	7089.643392455561	31109.182684172287	11807.502687364275	38923.1539840385	63274.9336498858	79977.3473844401	24017.67289833464	132704.94088593035	37083.65041646304	80950.46690081143	69305.8684301087	53348.77494082087	20715.13928527893	68530.33082826917	31088.62352533731	33498.164035501875	29131.646777780184	11874.727642586562	5489.11284947404	41471.724527641316	21113.342094308766	23089.80632199307	4790.026340191833	11330.724752250537	36140.8559908453	33321.882181131325	50728.42488627356	10262.947912569203	28661.554659477562	12156.762865603998	38253.70755536245	50483.66532652748	33939.432262425	32631.07245618584	21845.081087227838	10474.614811704267	9428.039619935029	88876.57576849662	39353.62376715283	24068.21714211363	11463.669230482374
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	163.75227748725422	0.0	0.0	0.0	0.0	556.7071279590018	9.332941291735759	0.0	0.0	0.0	0.0	244.330676272037	0.0	0.0	0.0	3.2209177658100026	0.0	167.58850214688667	0.0	731.6614438346775	472.8815103668654	0.0	0.0	0.0	167.07604410990294	0.0	0.0	7.127626671280625	0.0	0.0	0.0	0.0	219.79186571738524	0.0	26.828650102116978	0.0	0.0	100.67250741241376	9.382187167024771	23.05669152480087	349.2246721089435	160.9920756866172	0.0	0.0	0.0	0.0	633.1392115354137	237.4198125146915	0.0	0.0	0.0	0.0	0.0	0.0	217.39534992321637	0.0	0.0	4.619840875470704	486.53857223937445	21.96887877747466	0.0	460.4012582547592	0.0	13.594962038856753	170.18789352931663	17.132885703341387	21.690234680471196	8.96202334169548	0.0	0.0	0.0	6.982787689662897	12.604394004605329	0.0	0.0	239.58062175444013	0.0	0.0	0.0	0.0	285.4652996581753	0.0	0.0	9.109033864900564	0.0	0.0	0.0	0.0	956.8058013291745	241.34029262964475	0.0	0.0	0.0	0.0	0.0	0.0	170.84647461022558	1246.7377862674318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7949675588948781	0.0	0.0	19.81382686975318	0.0	114.39345450358132	0.0	8.401283784752044	398.45427414532634	0.0	0.0	0.0	872.3863212479293	6792.174402123186	2909.9988512516916	0.0	0.0
AEROBACTINSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	299.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.0	0.0	20.0	0.0	0.0	0.0	0.0	15.5	214.5	0.0	0.0	0.0	0.0	0.0	398.2383031815346	62.5	0.0	0.0	0.0	0.0	0.0	0.0	131.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.116692426584237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.5	0.0	0.0	0.0	0.0	176.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	363.9918032786885	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	500.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	338.5	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY	480.02858765308304	3316.541124045679	11419.832321036056	11277.445621714232	1700.792345743226	2178.576995322396	11350.959368655256	29685.586173363754	22597.0206068685	1710.6766839892296	21303.449301777804	1195.250071098832	58576.220442479884	1689.2846370253926	1297.2714662903877	7516.550959708027	6176.346374186936	2448.8022156833126	5604.155161850344	12746.554396680383	48695.488869735826	6490.386236669601	4938.765864892963	908.9182124686532	1497.5168167440095	5141.592377318424	515.6417571082972	4990.200037338041	5214.281910760779	149.05855378451102	2121.958035414099	8536.708367522662	10644.13413349371	8690.37585535951	10910.599795949844	7887.791980732682	5135.284607908785	983.5143497737691	5352.741584317014	2717.1956179535164	2431.383984089184	16478.48070530842	4735.171752578322	3221.528482131362	7452.325831007006	501.6817504830215	3313.5446747858773	13519.287626423695	18464.100444883214	3730.354244148594	944.2204420895326	784.5630741679132	568.2111918911944	580.0037385414176	292.56035906138754	7839.312782109037	1254.1222508818007	5898.063589945253	3180.097605304241	10859.883512647031	3534.316098596797	1789.1898142403604	9529.47617202111	4269.019779048125	7089.675051472211	6269.486435508568	2737.0354048016625	3385.935801557784	3582.084181235206	7841.540643143656	2307.9424362087957	1868.3656410053627	3289.8828130703873	8796.334777425487	2638.23008367646	1867.1757147429817	15422.718180163984	10507.019968788118	2190.3891698535786	3183.364329338913	1203.4689332741573	3715.512043514083	2216.415390655719	647.8046204957509	9191.593239368049	246.60310403170715	7709.429529394317	6930.594946768865	5863.621395723467	12340.63947818042	14100.853655208884	9654.133412405114	18219.866030529112	2166.069095137532	1303.2154019770194	252.03620856854786	5995.463192189858	10732.525419663638	19892.438197532836	176.9257330211026	2744.101299934875	286.12522530532465	2129.1830258266546	1586.4963187627145	742.5593724870124	0.0	485.67447655293677	2570.8099669150665	5696.337168164868	2211.3962793711653	1852.110180132703	3380.653508096112	2870.569602315488	7115.968664500658	4382.6927890160105	15777.608987375397	4602.53528084437	1717.7393829039145	2193.7683064765297	5068.838606148332	88813.145409802	38761.737766049446	2003.853713378251	4608.013233012057
ANAEROFRUCAT-PWY	6317.0320910158525	9689.783876998774	52397.050918756264	38852.416056167094	19366.395282591897	19761.659184998865	21232.128706830586	97599.3485259631	95753.64418313616	17296.363214710498	95906.59286732222	12687.895666605624	137494.80344531668	18006.32529410319	42034.450968298086	79704.1856160586	33639.15550807131	21721.54565608704	20446.842776913698	36914.93401316524	64874.48471124763	23226.993937393592	41987.61965875568	27156.815399324903	10743.57157494259	11995.718167666686	23851.680400905287	26156.749824571194	32229.00813554033	15954.74100251285	31800.690054600018	63935.671081475164	42462.03079555199	50213.48798164492	44054.718219094575	21741.496847699524	166058.92967401212	4731.257444926762	9936.788882078417	11572.883702645659	12156.534863884475	53733.97811222581	9253.663833324825	44698.889074683204	78916.94220902771	14937.787431319577	36338.39611853518	37973.271217812275	24133.205518959483	28895.304324877783	7776.144537464906	24674.51190425971	42635.01094280532	13376.773304352608	9340.016381107216	51506.1095918723	17259.771747885727	37606.1092899393	19315.480803145474	22179.71849713988	11903.844991478454	31615.978602208656	15544.272482513219	41031.13044141706	36038.96215989274	18328.095927931077	9017.81134728295	15701.933598563586	56875.64086609997	70087.15995710807	36127.485694614574	9896.599375920985	21274.21838629145	61067.44681028546	12319.538590070717	9371.15728760209	35319.414362501215	52235.05507616911	19919.091075056396	25378.118400319578	34719.48068337034	11808.68666482871	59169.11780406091	6020.88376378016	29840.76826667728	11833.654940861908	36959.30949571294	69184.25122475256	65199.00571168261	22776.622696464932	124066.43844861003	36551.21632655957	58785.44579677806	70918.84563212458	48598.15552104745	28549.79575694471	75750.14320534114	34034.31920176861	34188.33833658429	19487.414916936803	12271.55981719146	5998.789762403067	43264.48996681029	21152.933107145043	22065.941818063675	4890.441557141428	12070.860361731848	37477.18765895101	31358.85264238109	49284.208006738234	11142.176686816883	29998.88408625776	12348.484089723657	40295.621927410146	38537.07699295549	35798.07533595309	33408.317900365655	21946.855650732807	10262.524577683027	11084.464453874667	106494.50468801135	47727.96170868908	160181.9761579108	138512.58583381076
ANAGLYCOLYSIS-PWY	6740.651004730107	11044.713678075716	56521.76312064233	43162.93914097168	21488.84532612124	22361.998904683573	23098.073146744282	119696.9948996006	104846.5436932109	30739.077029878772	107701.70395948549	13128.97619022055	153581.99088022413	18656.335017195826	42632.50858742228	84333.38342673438	35363.23505146661	24963.13694609333	21503.9476864468	43821.79179209587	72563.39418152503	24799.528350632092	46060.83955622176	34843.045992076244	11520.573057540047	13023.878344354063	24960.918248304533	27626.11110116139	34568.17032221805	17136.593300724162	33126.68324960143	73665.26671160285	49494.84356454279	54298.61994032066	49003.54306959734	22986.856994742382	168304.50674028683	4983.698246611562	11502.906363429349	12560.072112771963	13539.33693969664	64967.71172665553	10197.721799150813	54446.88580887566	97782.81109926298	16376.116988081412	39520.73816902477	39603.99023925608	30107.66722041516	34601.73484806499	8351.465815837566	25882.659162746022	44923.90983542534	14242.797753216417	10104.45875037791	56519.62329144282	17769.637788125154	44586.63449115741	21360.746468797694	23681.507966436533	12368.964539779505	32355.467710172874	16693.99675051415	49908.98433624478	43184.873091578826	19173.546241114826	9591.093392208664	16383.905631328493	61425.39857592726	93316.00586734813	39457.191974290734	10566.22771336143	22777.786787571677	66141.0293310859	13427.134654947115	9916.631739556786	38559.75830738293	56072.910267658124	20618.157048164863	29584.263377137333	36332.33752001088	12366.969174724174	69497.15702812756	7566.916898367023	35517.40769439986	12669.425353064207	41765.44527352379	70734.1175038461	86466.05119863835	27152.359467698556	147153.60119999896	40910.8597014503	87666.5868902435	81322.62245437881	57047.156049135614	29937.93092712419	80456.41063604462	36050.357047622056	38641.4283540374	30254.491141197377	13005.719557808703	6676.161909681306	47287.85707325051	22861.08425535567	24198.95841227395	5336.808345645128	12638.850122432474	41391.5333171132	35161.2425461252	53617.66203161642	11673.345286967431	31597.212173168857	13598.785777245865	42290.302356561966	54703.60446892256	38969.3943853325	36591.89264196099	24315.49853738537	11227.163846073508	12300.543258365817	107566.4731855368	48640.00755170786	163073.73629061575	140594.8762356264
ARG+POLYAMINE-SYN	1447.998050541663	4508.4313037161555	14606.683090048165	9688.065199303319	4048.4267724351116	5676.5855792617185	9978.229807208432	20169.402701728777	23490.81073311806	2669.598176003724	8868.30280042422	3544.43444757503	44629.01796149971	4889.448587862067	11186.48403589129	17245.372072702157	9841.179373135836	7358.4566162803585	4911.790917758787	9774.687672452847	31525.37607253525	6807.593818066373	6445.425963293726	8803.673400375928	3098.8746965231326	4350.066675338786	5578.1435205827165	7721.186503299645	10589.46736911486	3899.1314510063485	9212.442839080508	16105.802867887433	11968.573761514217	6240.732698994786	11745.188078595758	5893.650120225523	23019.664929557763	1289.5454236869523	4333.489071010851	3682.151738958361	3242.1853309823728	18999.34155593536	3967.0851603349793	18229.530777434775	7717.361814418529	1617.5089173552929	6518.173880555102	11239.015621122118	10959.902343123737	4745.481491423285	2307.828428850908	6041.1634002519595	4554.573626232531	3853.9330521480165	2597.4054177760972	10730.264204149838	3693.2961565417068	11682.79373979795	4908.94172767417	9173.846695606717	3763.412505807109	7961.603436106416	8210.197729741585	5329.280877495332	5552.930521613331	5858.718730355712	3160.7125508458503	3346.795348413374	12321.25555136684	8658.2211413926	8065.056446880947	2684.487195697903	3655.368473782276	13334.991490541881	3133.8098864524154	2182.2926099114666	12331.36053944755	9843.698913901651	4092.8874180302446	4884.20433489985	10203.381479356418	3370.7408016447425	12666.005555823176	1101.444020218614	7282.402368278969	3277.2384888733804	5294.137700482495	20645.706356663533	9649.805417557967	10463.861567640646	11523.423413276894	9818.723411719364	16930.32691734943	15519.575034866108	13104.393987410438	2442.264709120708	15675.982729773168	8451.627284252543	15345.210391240418	2424.62148264494	3887.305007433828	1675.1684640537876	12972.317471540715	3665.094819199078	3122.3471209733225	1283.7836957611494	2601.115757728498	3176.0806585241207	6440.979451851321	7817.878408897992	2552.53332585929	9951.877891636916	2973.2670216805345	7587.129930437385	4663.982336589634	11892.0368266689	8250.230180582023	5416.630435743533	2461.495949641634	6083.218443264454	83717.20838568501	37581.626101734684	5645.901825067949	3218.668879600041
ARGDEG-PWY	34.493535854039415	1951.650899787424	360.6214554129654	1426.572605021308	69.11445530534888	16.095599446062778	7134.968278490318	779.984583050418	10.489510662242271	421.85820546882786	28.97228278806094	168.76447140225815	6921.531845598505	6.9763465767364385	20.58230360739679	180.00613300740068	654.1415967263063	235.00298561485897	2375.293866754648	2697.207011001416	17527.147190258616	1811.2718247561227	803.6922067888031	31.953268152233903	67.7935468898642	3149.7598464171615	9.248167475967348	831.4920332336608	1037.833858322314	24.263695625570442	36.40606350705221	35.78494635575912	1460.145227451588	1209.0656452886724	939.3511361299558	1904.6210674226513	636.9817136922762	386.56942219782303	1925.8337508888935	709.9096246819267	758.6403406111541	2070.7957130066275	2043.4908381284483	569.2853612364721	740.7809737082744	15.61026761709382	13.925108600302153	3570.3857718298095	5041.579467422608	750.7484439108342	234.790587164035	12.59266127017935	23.72931423934297	18.299656389093027	0.0	1154.1329611152219	127.15873664492787	22.055242221439	291.9613625036453	6368.724347447909	910.0839676566866	255.91804795721745	5722.679474926997	16.165448469747762	871.4982614557005	2475.7694000428173	984.4645068516211	1073.8027847083224	0.0	636.1978849088299	19.52986178770014	285.9458409132804	480.6133558431397	1705.8771406950218	617.2572195064172	427.7253486799836	5191.798272007433	1755.587177464574	334.3835801610108	399.8103430634474	47.38664271329656	1371.2208992087556	0.0	12.428462142430295	1977.7880929874268	20.725836405466495	870.4143621962918	128.82786329317534	49.60871297926727	4641.970674908276	1497.0541148818602	1644.3422629116255	659.6849643219477	49.59867367643661	33.21082658342416	15.29557395466115	24.324023909052883	2831.391930260406	10096.087392538237	0.0	470.4033655090858	20.20301312573043	31.243529873624734	163.74078745367575	13.69429941854017	0.0	17.73318209617624	190.29868728723562	247.38137762546344	39.54286392007774	290.0838564054879	401.63888816205304	651.6710604611525	30.017249950607553	832.4431430752554	6159.433959168334	13.884527638679396	20.79386800489856	152.80701326482418	3562.303679916336	84974.04900894838	36366.183490106734	266.65839910431407	719.9917755589601
ARGORNPROST-PWY	1134.455780454459	773.2691796118116	7020.698393510786	4852.681040861958	1927.1041278467148	4568.0129433424245	3767.3783902074283	3744.0450959805994	7298.690893499245	1565.2217336457566	5459.910744688405	1659.448795611763	26072.914168509804	3643.514820724711	10287.742718448348	9661.172813952882	5557.493587155855	3746.020732493239	2852.084582104722	4085.756755405081	12870.845390442693	3930.991939527003	3977.6439752752144	13978.558632929808	1575.938242870949	1378.1480128335863	3605.452708985865	4719.321839317001	6387.037100878514	7414.628936285889	3610.8607988291487	5765.631645066004	3612.966283072582	4259.608276911296	6866.277345544837	5911.408229231047	54975.89633515799	864.4695184841521	2205.531259952879	2209.6195988367463	1615.9452940965302	7874.05369190681	1921.9432479054062	15295.586889884107	6792.272939942287	1997.8028996561445	5296.10931173726	11728.37958732273	6023.089211072831	3246.274355959725	2469.677633857285	6296.032667275365	5108.430383025376	3037.9168521946776	1829.5273071298782	7916.342144040259	4060.397085896649	4792.93872536879	3868.153089127647	3276.9609641713605	2820.5204000797576	7769.869984404369	2967.8242572809677	5106.8359733078705	4796.900787927619	4475.059872614987	1313.1494649953777	3074.522416464161	8518.16522542344	5262.971647805268	11204.330964661836	2142.3535145498363	3586.1239115027524	8229.11383875841	2567.0150257989526	1764.4128662785774	7836.45073879809	9020.542250983137	4667.843685777626	3200.3193551256522	7679.743936442406	2136.2137101295943	4817.22693875781	1246.5642621080485	4064.356766615266	2224.7741109753865	6636.887626196126	13112.97969355768	5670.476080473328	3878.7674258202987	11381.22250760762	4539.441171838059	4520.918524507394	6201.413562328842	6540.92852443139	1222.2062536258359	8151.117174532446	5353.28233692123	7131.507380996626	2122.5942175918276	2869.4645599286014	1272.1073417546427	7270.443746034912	2768.823011792252	4122.557237472228	1058.7328749123028	3112.8174882386597	1968.8980677211493	2719.8101174440217	9851.783362872025	1749.123601211423	6787.687157266543	2379.7557258728402	3350.814681412865	4350.409303854893	5839.348468731983	7830.313225173881	3795.4548551296252	1621.423286983556	2028.5423271926743	1552.108274255231	2431.129116356374	148041.05572172123	130974.44129500019
ARGSYN-PWY	2463.910132115116	6279.678151297914	21253.660313921297	19160.223805551344	4930.9120919042	10969.807622406997	9925.42789539852	27906.796727632573	34489.38348881069	2892.6633030499056	10247.344357589802	4347.929252063293	72849.66804227415	8210.647369018045	16290.871530149761	23654.470542525156	14435.313029117124	13579.55441301974	5780.175887332886	12852.390297540118	47149.183871200534	8992.21058527329	7674.781263166279	14779.740727540104	3931.5915987041762	4464.897373232554	11195.301193941124	8621.469628888417	15047.585681445926	9199.040800264134	12570.08181806198	33309.658734290635	29257.216891015414	12486.668273149598	16940.050013905737	8031.649484630431	68536.72786816258	1748.994528985941	6715.951938426516	4566.334260203233	4117.476339129474	40896.50650506263	6086.942604839378	39795.209348124576	17016.69194072322	2734.390995052549	10002.17617782171	14128.972545829627	19521.76545161898	5151.062892377659	3311.886647816263	7411.416104996991	5881.680417034302	5044.941855090005	3154.0124530030917	18179.280884603293	5241.264171321582	18982.763859881576	8940.152082630511	9088.009912907644	5744.69132146172	10016.080478098977	9293.534941182887	8885.544119056201	11053.500304346486	6992.435267320383	4147.406736645439	3983.6477053374897	20894.386553274922	16732.95908364385	14628.043985809045	3811.6548430147295	5945.661539049721	20387.327938882547	3907.15392195703	2647.591225571434	15631.717623750286	13350.777962213047	5468.933068779301	6361.967302955554	11526.849149177871	4083.6718538391083	36813.53871943628	1720.337648838811	11777.24189249364	4435.13195857239	17340.08468968387	33422.62157763784	17233.986231436636	14223.78984034767	22746.376091107722	11354.79459322483	41820.07404371071	34192.28681221562	13339.192341276577	4199.583295689184	18470.83818136779	10843.96035967401	17340.16832766007	2566.7865619071913	5298.502388324644	2760.9434998091274	17074.454960065785	5085.504005381037	5098.977018364055	1673.7192736438512	3585.5666187529023	16415.596238881768	10810.087680104765	13503.550251571936	4182.159774441367	14775.25316913603	4246.246191941693	11155.962272170238	5937.614671371645	14718.361549810095	14786.250616872227	8506.21531430788	2878.423654758921	7733.948607180872	77828.6783900427	36430.13292314156	153282.12798201953	134850.33774302315
