	Kingdom:Phylum:Class:Order:Family:Genus:Species
SV_1	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus:NA
SV_2	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Enterobacteriaceae:Escherichia-Shigella:NA
SV_3	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Pasteurellaceae:Haemophilus:NA
SV_4	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Pasteurellaceae:Haemophilus:NA
SV_5	Bacteria:Firmicutes:Bacilli:Staphylococcales:Gemellaceae:Gemella:NA
SV_6	Bacteria:Firmicutes:Bacilli:Staphylococcales:Staphylococcaceae:Staphylococcus:NA
SV_7	Bacteria:Proteobacteria:Gammaproteobacteria:Pseudomonadales:Moraxellaceae:Acinetobacter:NA
SV_8	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Enterobacteriaceae:Citrobacter:NA
SV_9	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Neisseriaceae:Neisseria:NA
SV_10	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus:NA
SV_11	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Pasteurellaceae:Actinobacillus:NA
SV_12	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Enterobacteriaceae:NA:NA
SV_13	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus:NA
SV_14	Bacteria:Firmicutes:Bacilli:Lactobacillales:Carnobacteriaceae:Granulicatella:NA
SV_15	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus:NA
SV_16	Bacteria:Actinobacteriota:Actinobacteria:Micrococcales:Micrococcaceae:Rothia:dentocariosa
SV_17	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus:NA
SV_18	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Veillonellaceae:Veillonella:NA
SV_19	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus:NA
SV_20	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Enterobacteriaceae:Klebsiella:NA
SV_21	Bacteria:Actinobacteriota:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinomyces:NA
SV_22	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus:mutans
SV_23	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:Faecalibacterium:NA
SV_24	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_9:copri
SV_25	Bacteria:Actinobacteriota:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinomyces:odontolyticus
SV_26	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:NA
SV_27	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Enterobacteriaceae:Escherichia-Shigella:NA
SV_28	Bacteria:Actinobacteriota:Actinobacteria:Micrococcales:Micrococcaceae:Rothia:mucilaginosa
SV_29	Bacteria:Actinobacteriota:Actinobacteria:Micrococcales:Micrococcaceae:Rothia:mucilaginosa
SV_30	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Blautia:NA
SV_31	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Fusicatenibacter:saccharivorans
SV_32	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus:NA
SV_33	Bacteria:Bacteroidota:Bacteroidia:Flavobacteriales:Weeksellaceae:Bergeyella:NA
SV_34	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Veillonellaceae:Veillonella:NA
SV_35	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus:NA
SV_36	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Alcaligenaceae:Oligella:urethralis
SV_37	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7:melaninogenica
SV_38	Bacteria:Actinobacteriota:Actinobacteria:Micrococcales:Microbacteriaceae:Leucobacter:NA
SV_39	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Enterobacteriaceae:Escherichia-Shigella:NA
SV_40	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:NA
SV_41	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Neisseriaceae:Neisseria:NA
SV_42	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Sneathia:NA
SV_43	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:timonensis
SV_44	Bacteria:Actinobacteriota:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium:matruchotii
SV_45	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:Subdoligranulum:NA
SV_46	Bacteria:Firmicutes:Bacilli:Lactobacillales:Carnobacteriaceae:Granulicatella:elegans
SV_47	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:Faecalibacterium:prausnitzii
SV_48	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Pasteurellaceae:Haemophilus:sputorum
SV_49	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Roseburia:intestinalis
SV_50	Bacteria:Bacteroidota:Bacteroidia:Flavobacteriales:Weeksellaceae:Weeksella:virosa
SV_51	Bacteria:Actinobacteriota:Actinobacteria:Micrococcales:Micrococcaceae:Rothia:mucilaginosa
SV_52	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas:pasteri
SV_53	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Blautia:obeum
SV_54	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Veillonellaceae:Veillonella:NA
SV_55	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Sneathia:sanguinegens
