X.SampleID	quant_reading	Sample_or_Control
K000_CYSTINE	2.77	Sample
K101_OU	1.91	Sample
K101_PU	4.33	Sample
K101_S_L	2.78	Sample
K101_S_R	2.62	Sample
K102_EC	1.95	Control
K102_OU	1.8	Sample
K102_PU	2.37	Sample
K103_EC_1	2.3	Control
K103_EC_2	2.08	Control
K103_OU	3.93	Sample
K103_PU	18.55	Sample
K103_S	2.51	Sample
K104_EC	2.01	Control
K104_OU	2.02	Sample
K104_PU	3.73	Sample
K104_S	2.37	Sample
K105_S	2.79	Sample
K105_OU	2.7	Sample
K105_PU	7.99	Sample
K106_EC	3.37	Control
K106_OU	2.63	Sample
K106_PU	2.62	Sample
K106_S	2.62	Sample
K107_EC	2.07	Control
K107_PU1	3.09	Sample
K107_PU2	19.05	Sample
K107_S	2.48	Sample
K108_PU	20.12	Sample
K109_PU	2.14	Sample
K110_EC	2.17	Control
K110_PU	9.7	Sample
K110_S	5.53	Sample
K111_PU	2.42	Sample
K111_S	3.04	Sample
K112_OU	2.88	Sample
K112_PU	2.4	Sample
K113_PU	3.49	Sample
K114_OU	2.66	Sample
K114_PU	5.88	Sample
K115_OU	4.34	Sample
K115_PU	2.58	Sample
K116_OU	2.26	Sample
K116_PU	4.16	Sample
K116_S	3.2	Sample
K117_PU	3.06	Sample
K118_PU	25.11	Sample
K119_EC	2.35	Control
K119_OU	1.98	Sample
K119_PU	2.54	Sample
K119_S	3.01	Sample
K120_OU	2.27	Sample
K120_PU	2.57	Sample
K121_OU	5.81	Sample
K121_PU	2.18	Sample
K122_EC	1.88	Control
K122_OU	1.76	Sample
K122_PU	6.28	Sample
K122_S_1	3.38	Sample
K122_S_2	6.84	Sample
K122_S_3	2.59	Sample
K123_OU	2.04	Sample
K123_PU	2.11	Sample
K124_PU	2.4	Sample
K125_EC	2.51	Control
K125_OU	2.11	Sample
K125_PU	2.54	Sample
K125_S	2.8	Sample
K126_OU	3.76	Sample
K126_PU	14.76	Sample
K126_S	3.38	Sample
K127_OU	2.11	Sample
K127_PU	13.12	Sample
K127_S	2.82	Sample
K128_OU	3.33	Sample
K128_PU	2.93	Sample
K129_PU	2.29	Sample
K130_EC	2.45	Control
K130_OU	7.53	Sample
K130_PU	22.66	Sample
K130_S	11.13	Sample
K131_PU	17.39	Sample
K132_OU	3.36	Sample
K132_PU	2.48	Sample
K133_OU	1.79	Sample
K133_PU	3.01	Sample
K134_PU	22.29	Sample
K134_S	2.39	Sample
K135_OU	1.89	Sample
K135_PU	2.94	Sample
K136_EC	2.73	Control
K136_OU	1.7	Sample
K136_PU	3.04	Sample
K136_S	2.6	Sample
K137_OU	3.01	Sample
K137_PU	13.03	Sample
K137_S	18.27	Sample
K138_PU	3.84	Sample
K139_PU	10.45	Sample
K140_OU	2.92	Sample
K140_PU	3.15	Sample
K141_OU	2.5	Sample
K141_PU	3.42	Sample
K142_OU	2.1	Sample
K142_PU	3.46	Sample
