	Kingdom	Phylum	Class	Order	Family	Genus	Species
SV_0	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Escherichia/Shigella						
SV_1	Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus						
SV_2	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_3	Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus						
SV_4	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus						
SV_5	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Proteus						
SV_6	Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Gardnerella						
SV_7	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Klebsiella						
SV_8	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Veillonella						
SV_9	Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Gardnerella						
SV_10	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_11	Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Gardnerella						
SV_12	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_13	Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Sneathia						
SV_14	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_15	Bacteria:Actinobacteria:Coriobacteriia:Coriobacteriales:Atopobiaceae:Atopobium						
SV_16	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Megasphaera						
SV_17	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Klebsiella						
SV_18	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_19	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_20	Bacteria:Firmicutes:Bacilli:Lactobacillales:Enterococcaceae:Enterococcus						
SV_21	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_6						
SV_22	Eukaryota:NA:NA:NA:NA:NA						
SV_23	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_24	Eukaryota:NA:NA:NA:NA:NA						
SV_25	Bacteria:Epsilonbacteraeota:Campylobacteria:Campylobacterales:Campylobacteraceae:Campylobacter						
SV_26	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_27	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Veillonella						
SV_28	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus						
SV_29	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Veillonella						
SV_30	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Ezakiella						
